"1","Alice","Johnson","Active","0","1990-04-22","alice.j@example.com","0","Libr"
"2","Bob","Smith","Active","10","1985-09-12","bob.s@example.com","0","Admi"
"3","Carol","Davis","Active","0","2002-11-03","carol.d@example.com","0","Memb"
"4","David","Brown","Inactive","15","1998-06-17","david.b@example.com","0","Memb"
"5","Emma","Wilson","Active","5","1995-02-14","emma.w@example.com","0","Memb"
"6","Mary","Clark","Active","20","1984-06-25","mary.clark@example.com","0","Libr"
"7","Jennifer","Larson","Inactive","4","1968-05-01","jennifer.larson@example.com","0","Admi"
"8","Alan","Sanchez","Inactive","32","1965-02-16","alan.sanchez@example.com","0","Memb"
"9","Kimberly","Thomas","Inactive","14","1953-09-26","kimberly.thomas@example.com","0","Libr"
"10","Shane","Campbell","Inactive","22","1945-01-06","shane.campbell@example.com","0","Libr"
"11","Kendra","Stark","Inactive","23","2005-02-26","kendra.stark@example.com","0","Admi"
"12","John","Wong","Inactive","26","1971-01-30","john.wong@example.com","0","Libr"
"13","Matthew","Carlson","Active","17","2006-07-28","matthew.carlson@example.com","0","Memb"
"14","Jessica","Larson","Active","5","1949-10-05","jessica.larson@example.com","0","Memb"
"15","Ryan","Rodriguez","Inactive","41","1988-10-09","ryan.rodriguez@example.com","0","Memb"
"16","Richard","Tyler","Inactive","14","1984-03-26","richard.tyler@example.com","0","Libr"
"17","Sara","Reed","Inactive","6","1990-12-21","sara.reed@example.com","0","Admi"
"18","Lori","Sanchez","Active","11","1999-11-10","lori.sanchez@example.com","0","Admi"
"19","Mary","Pearson","Active","48","1981-09-15","mary.pearson@example.com","0","Admi"
"20","Stanley","Murphy","Active","0","1945-04-04","stanley.murphy@example.com","0","Libr"
"21","Aaron","Brown","Inactive","26","1950-09-01","aaron.brown@example.com","0","Libr"
"22","Yolanda","Nguyen","Inactive","33","1984-03-26","yolanda.nguyen@example.com","0","Admi"
"23","Jennifer","Mccoy","Active","3","1992-01-17","jennifer.mccoy@example.com","0","Memb"
"24","Lisa","Scott","Active","13","1960-08-11","lisa.scott@example.com","0","Libr"
"25","Kathryn","Preston","Active","29","1993-06-18","kathryn.preston@example.com","0","Memb"
"26","Barry","Martin","Active","2","1982-11-24","barry.martin@example.com","0","Memb"
"27","Natasha","Powell","Active","6","1969-11-08","natasha.powell@example.com","0","Memb"
"28","Daryl","Bird","Inactive","1","1967-11-29","daryl.bird@example.com","0","Admi"
"29","Deanna","Clark","Inactive","34","1996-11-13","deanna.clark@example.com","0","Admi"
"30","Joshua","Murphy","Active","47","1952-09-03","joshua.murphy@example.com","0","Libr"
"31","Steven","Curtis","Active","23","1969-08-07","steven.curtis@example.com","0","Admi"
"32","Joshua","Marshall","Inactive","10","1986-02-08","joshua.marshall@example.com","0","Libr"
"33","Pamela","Patterson","Active","47","1966-03-10","pamela.patterson@example.com","0","Libr"
